"id","name","course_url","description","provenance","image_url","special_id","subject"
"csr00015","Data Analysis and Presentation Skills: the PwC Approach Final Project","http://www.coursera.org/specializations/pwc-analytics","About the Capstone ProjectIn this Capstone Project, you'll bring together all the new skills and insights you've  learned through the four courses. You'll be given a 'mock' client problem and a data set. You'll need to analyze the data to gain business insights, research the ... moreYou can choose to take  only. Learn more.","Duke University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/8c6610c07e11e6a7f5e70b413367a6/DMSIcon.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00002",""
"csr00016","Fundamentals of Visualization with Tableau","http://www.coursera.org/specializations/data-visualization","In this first course of the specialization, you will discover just what data  visualization is, and how we can use it to better see and understand data. Using Tableau, well examine the fundamental concepts of data visualization and exp... moreYou can choose to take  only. Learn more.","PwC","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00003",""
"csr00017","Essential Design Principles for Tableau","http://www.coursera.org/specializations/data-visualization",", you will analyze and apply essential design principles to your Tableau  visualizations.  assumes you understand the tools within Tableau and have some knowledge of the fundamental concepts of data visualization. You will de... moreYou can choose to take  only. Learn more.","PwC","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00003",""
"csr00018","Visual Analytics with Tableau","http://www.coursera.org/specializations/data-visualization","In this third course of the specialization, well drill deeper into the tools Tableau  offers in the areas of charting, dates, table calculations and mapping. Well explore the best choices for charts, based on the type of data you are using. Well... moreYou can choose to take  only. Learn more.","PwC","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00003",""
"csr00019","Creating Dashboards and Storytelling with Tableau","http://www.coursera.org/specializations/data-visualization","Leveraging the visualizations you created in the previous course, Visual Analytics with  Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to... moreYou can choose to take  only. Learn more.","PwC","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00003",""
"csr00020","Data Visualization with Tableau Project","http://www.coursera.org/specializations/data-visualization","About the Capstone ProjectIn this project-based course, you will follow your own interests to create a portfolio  worthy single-frame viz or multi-frame data story that will be shared on Tableau Public. You will use all the skills taught in this Specialization to compl... moreYou can choose to take  only. Learn more.","PwC","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2a/50c800335611e6a7800fb6ff2f8eb2/PwC_fl_c.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00003",""
"csr00021","Data Visualization","http://www.coursera.org/specializations/data-mining","Learn the general concepts of data mining along with basic methodologies and  applications. Then dive into one subfield in data mining: pattern discovery. Learn in-depth concepts, methods, and applications of pattern discovery in data mi... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00022","Text Retrieval and Search Engines","http://www.coursera.org/specializations/data-mining","Recent years have seen a dramatic growth of natural language text data, including web  pages, news articles, scientific literature, emails, enterprise documents, and social media such as blog articles, forum posts, product reviews, and tweets. Text ... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00023","Text Mining and Analytics","http://www.coursera.org/specializations/data-mining","will cover the major techniques for mining and analyzing text data to  discover interesting patterns, extract useful knowledge, and support decision making, with an emphasis on statistical approaches that can be generally applied to a... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00024","Pattern Discovery in Data Mining","http://www.coursera.org/specializations/data-mining","Learn the general concepts of data mining along with basic methodologies and  applications. Then dive into one subfield in data mining: pattern discovery. Learn in-depth concepts, methods, and applications of pattern discovery in data mi... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00025","Cluster Analysis in Data Mining","http://www.coursera.org/specializations/data-mining","Discover the basic concepts of cluster analysis, and then study a set of typical  clustering methodologies, algorithms, and applications. This includes partitioning methods such as k-means, hierarchical methods such as BIRCH, and density-based... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00026","Data Mining Project","http://www.coursera.org/specializations/data-mining","About the Capstone ProjectNote: You should complete all the other courses in this Specialization before beginning  .

This six-week long Project course of the Data Mining Specialization will allow you to apply the learned algorithms and techniques for data mining ... moreYou can choose to take  only. Learn more.","University of California, Davis","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/d326f0af5b11e5ada4195d312ad6aa/davis_data_thumb.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00004",""
"csr00027","Introduction to Big Data","http://www.coursera.org/specializations/big-data","Interested in increasing your knowledge of the Big Data landscape?   is for  those new to data science and interested in understanding why the Big Data Era has come to be.  It is for those who want to become conversant with the terminology and ... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00028","Big Data Modeling and Management Systems","http://www.coursera.org/specializations/big-data","Once youve identified a big data issue to analyze, how do you collect, store and  organize your data using Big Data solutions?  , you will experience various data genres and management tools appropriate for each.  You will be... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00029","Big Data Integration and Processing","http://www.coursera.org/specializations/big-data","At the end of the course, you will be able to:

*Retrieve data from example database and  big data management systems*Describe the connections between data management operations and the big data processing patterns needed to utilize them in lar... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00030","Machine Learning With Big Data","http://www.coursera.org/specializations/big-data","Want to make sense of the volumes of data you have collected?  Need to incorporate  data-driven decisions into your process?   provides an overview of machine learning techniques to explore, analyze, and leverage data.  You will be intro... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00031","Graph Analytics for Big Data","http://www.coursera.org/specializations/big-data","Want to understand your data network structure and how it changes under different  conditions? Curious to know how to identify closely interacting clusters within a graph? Have you heard of the fast-growing area of graph analytics and want ... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00032","Big Data - Capstone Project","http://www.coursera.org/specializations/big-data","About the Capstone ProjectWelcome to the Capstone Project for Big Data! In this culminating project, you will  build a big data ecosystem using tools and methods form the earlier courses in this specialization. You will analyze a data set simulating big data generated from... moreYou can choose to take  only. Learn more.","Johns Hopkins University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/f0/399ec045ea11e5ba8e4bc295fed462/9990024683_955f8f043b_h.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00005",""
"csr00033","Introduction to Data Science in Python","http://www.coursera.org/specializations/data-science-python","will introduce the learner to the basics of the python programming  environment, including how to download and install python, expected fundamental python programming techniques, and how to find help with python programming questi... moreYou can choose to take  only. Learn more.","University of Illinois at Urbana-Champaign","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00006",""
"csr00034","Applied Plotting, Charting & Data Representation in Python","http://www.coursera.org/specializations/data-science-python","will introduce the learner to information visualization basics, with a focus  on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good... moreYou can choose to take  only. Learn more.","University of Illinois at Urbana-Champaign","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00006",""
"csr00035","Applied Machine Learning in Python","http://www.coursera.org/specializations/data-science-python","will introduce the learner to applied machine learning, focusing more on the  techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than des... moreYou can choose to take  only. Learn more.","University of Illinois at Urbana-Champaign","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00006",""
"csr00036","Applied Text Mining in Python","http://www.coursera.org/specializations/data-science-python","will introduce the learner to text mining and text manipulation basics. The  course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk frame... moreYou can choose to take  only. Learn more.","University of Illinois at Urbana-Champaign","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00006",""
"csr00037","Applied Social Network Analysis in Python","http://www.coursera.org/specializations/data-science-python","will introduce the learner to network analysis  through the NetworkX  library. The course begins with an understanding of what network analysis is  and motivations for why we might model phenomena as networks. The second week introd... moreYou can choose to take  only. Learn more.","University of Illinois at Urbana-Champaign","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/01/609980fb3311e58521f12840fa495b/DataMining-Specialization_logo.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00006",""
"csr00038","Data Management and Visualization","http://www.coursera.org/specializations/data-analysis","Whether being used to customize advertising to millions of website visitors or  streamline inventory ordering at a small restaurant, data is becoming more integral to success. Too often, were not sure how use data to find answers to the questi... moreYou can choose to take  only. Learn more.","University of California, San Diego","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00007",""
"csr00039","Data Analysis Tools","http://www.coursera.org/specializations/data-analysis",", you will develop and test hypotheses about your data. You will learn a  variety of statistical tests, as well as strategies to know how to apply the appropriate one to your specific data and question. Using your choice of two ... moreYou can choose to take  only. Learn more.","University of California, San Diego","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00007",""
"csr00040","Regression Modeling in Practice","http://www.coursera.org/specializations/data-analysis","focuses on one of the most important tools in your data analysis arsenal:  regression analysis. Using either SAS or Python, you will begin with linear regression and then learn how to adapt when two variables do not present a clea... moreYou can choose to take  only. Learn more.","University of California, San Diego","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00007",""
"csr00041","Machine Learning for Data Analysis","http://www.coursera.org/specializations/data-analysis","Are you interested in predicting future outcomes using your data?  helps you  do just that! Machine learning is the process of developing, testing, and applying predictive algorithms to achieve this goal. Make sure to familiarize yours... moreYou can choose to take  only. Learn more.","University of California, San Diego","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00007",""
"csr00042","Data Analysis and Interpretation Capstone","http://www.coursera.org/specializations/data-analysis","About the Capstone ProjectThe Capstone project will allow you to continue to apply and refine the data analytic  techniques learned from the previous courses in the Specialization to address an important issue in society. You will use real world data to complete a project ... moreYou can choose to take  only. Learn more.","University of California, San Diego","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a6/35516029cf11e6b8dfdbd5deea5f21/UCSD_BigData_PartnerProvided.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00007",""
"csr00043","Big Data Essentials: HDFS, MapReduce and Spark RDD","http://www.coursera.org/specializations/big-data-engineering","Have you ever heard about such technologies as HDFS, MapReduce, Spark? Always wanted to  learn these new tools but missed concise starting material? Dont miss  either!
In this 6-week course you will:
- learn some basic technologies of th... moreYou can choose to take  only. Learn more.","University of Michigan","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00008",""
"csr00044","Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames","http://www.coursera.org/specializations/big-data-engineering","No doubt working with huge data volumes is hard, but to move a mountain, you have to  deal with a lot of small stones. But why strain yourself? Using  Mapreduce and Spark you tackle the issue partially, thus leaving some space for high-level tool... moreYou can choose to take  only. Learn more.","University of Michigan","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00008",""
"csr00045","Big Data Applications: Machine Learning at Scale","http://www.coursera.org/specializations/big-data-engineering","Machine learning is transforming the world around us. To become successful, youd better  know what kinds of problems can be solved with machine learning, and how they can be solved. Dont know where to start? The answer is one button away.
During thi... moreYou can choose to take  only. Learn more.","University of Michigan","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00008",""
"csr00046","Big Data Applications: Real-Time Streaming","http://www.coursera.org/specializations/big-data-engineering","From the practical point of view, data freshness is of utmost importance. Advertisements based on the recent users activity are ten times more popular. Delays in traffic jam prediction cost extra time for customers and make them angry. Delays in tsunami prediction can cost peoples lives.

The first half of the course is devoted to streaming frameworks that allow building continuous data applications to process massive amounts of data within seconds. You will learn techniques, technologies and algorithms suitable for building near real-time applications.

In the second part of the course, you will learn how to integrate these technologies into your applications. We will explore common strategies for improving data freshness in web applications (by building your own sample application on Flask). As a bonus, you will learn about NoSQL databases, how to work with them and when to use them instead of traditional RDBMS systems.

Are you ready for the journey full of research surprises? Jump in!You can choose to take  only. Learn more.","University of Michigan","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00008",""
"csr00047","Big Data Services: Capstone Project","http://www.coursera.org/specializations/big-data-engineering","Are you ready to close the loop on your Big Data skills? Do you want to apply all your knowledge you got from the previous courses in practice? Finally, in the Capstone project, you will integrate all the knowledge acquired earlier to build a real application leveraging the power of Big Data.

You will be given a task to combine data from different sources of different types (static distributed dataset, streaming data, SQL or NoSQL storage). Combined, this data will be used to build a predictive model for a financial market (as an example). First, you design a system from scratch and share it with your peers to get valuable feedback. Second, you can make it public, so get ready to receive the feedback from your service users. Real-world experience without any 3G-glasses or mock interviews.You can choose to take  only. Learn more.","University of Michigan","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00008",""
"csr00048","Algorithmic Toolbox","http://www.coursera.org/specializations/data-structures-algorithms","The course covers basic algorithmic techniques and ideas for computational problems  arising frequently in practical applications: sorting and searching, divide and conquer, greedy algorithms, dynamic programming. We will learn a lot of theory... moreYou can choose to take  only. Learn more.","Wesleyan University","https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Wesleyan_DataAnalysis_Istock41296982.jpg?auto=format%2Ccompress&dpr=1&w=100&h=100&fit=fill&bg=FFF","spc00009",""
